t	Alfa	omega	energia
0.000100	3.000400	4.000124	20257.604783
0.000200	3.000800	4.000248	20258.661310
0.000300	3.001200	4.000371	20259.717498
0.000400	3.001600	4.000495	20260.773348
0.000500	3.002000	4.000619	20261.828860
0.000600	3.002400	4.000743	20262.884033
0.000700	3.002800	4.000866	20263.938867
0.000800	3.003200	4.000990	20264.993363
0.000900	3.003601	4.001114	20266.047520
0.001000	3.004001	4.001238	20267.101338
0.001100	3.004401	4.001362	20268.154817
0.001200	3.004801	4.001486	20269.207957
0.001300	3.005201	4.001610	20270.260758
0.001400	3.005601	4.001734	20271.313220
0.001500	3.006001	4.001858	20272.365343
0.001600	3.006402	4.001981	20273.417127
0.001700	3.006802	4.002105	20274.468572
0.001800	3.007202	4.002229	20275.519677
0.001900	3.007602	4.002353	20276.570442
0.002000	3.008002	4.002477	20277.620869
0.002100	3.008403	4.002601	20278.670955
0.002200	3.008803	4.002725	20279.720703
0.002300	3.009203	4.002849	20280.770110
0.002400	3.009604	4.002974	20281.819178
0.002500	3.010004	4.003098	20282.867906
0.002600	3.010404	4.003222	20283.916294
0.002700	3.010805	4.003346	20284.964342
0.002800	3.011205	4.003470	20286.012051
0.002900	3.011605	4.003594	20287.059419
0.003000	3.012006	4.003718	20288.106447
0.003100	3.012406	4.003842	20289.153135
0.003200	3.012806	4.003966	20290.199483
0.003300	3.013207	4.004091	20291.245491
0.003400	3.013607	4.004215	20292.291158
0.003500	3.014008	4.004339	20293.336485
0.003600	3.014408	4.004463	20294.381471
0.003700	3.014808	4.004587	20295.426117
0.003800	3.015209	4.004712	20296.470422
0.003900	3.015609	4.004836	20297.514387
0.004000	3.016010	4.004960	20298.558011
0.004100	3.016410	4.005084	20299.601294
0.004200	3.016811	4.005209	20300.644236
0.004300	3.017211	4.005333	20301.686838
0.004400	3.017612	4.005457	20302.729098
0.004500	3.018013	4.005582	20303.771018
0.004600	3.018413	4.005706	20304.812596
0.004700	3.018814	4.005830	20305.853833
0.004800	3.019214	4.005955	20306.894729
0.004900	3.019615	4.006079	20307.935284
0.005000	3.020015	4.006203	20308.975498
0.005100	3.020416	4.006328	20310.015370
0.005200	3.020817	4.006452	20311.054901
0.005300	3.021217	4.006577	20312.094090
0.005400	3.021618	4.006701	20313.132937
0.005500	3.022019	4.006826	20314.171443
0.005600	3.022419	4.006950	20315.209607
0.005700	3.022820	4.007074	20316.247430
0.005800	3.023221	4.007199	20317.284911
0.005900	3.023622	4.007323	20318.322050
0.006000	3.024022	4.007448	20319.358846
0.006100	3.024423	4.007573	20320.395301
0.006200	3.024824	4.007697	20321.431414
0.006300	3.025225	4.007822	20322.467185
0.006400	3.025625	4.007946	20323.502614
0.006500	3.026026	4.008071	20324.537700
0.006600	3.026427	4.008195	20325.572444
0.006700	3.026828	4.008320	20326.606846
0.006800	3.027229	4.008445	20327.640905
0.006900	3.027630	4.008569	20328.674622
0.007000	3.028030	4.008694	20329.707996
0.007100	3.028431	4.008819	20330.741028
0.007200	3.028832	4.008943	20331.773717
0.007300	3.029233	4.009068	20332.806063
0.007400	3.029634	4.009193	20333.838067
0.007500	3.030035	4.009317	20334.869728
0.007600	3.030436	4.009442	20335.901046
0.007700	3.030837	4.009567	20336.932020
0.007800	3.031238	4.009692	20337.962652
0.007900	3.031639	4.009816	20338.992941
0.008000	3.032040	4.009941	20340.022887
0.008100	3.032441	4.010066	20341.052489
0.008200	3.032842	4.010191	20342.081749
0.008300	3.033243	4.010316	20343.110665
0.008400	3.033644	4.010441	20344.139237
0.008500	3.034045	4.010565	20345.167466
0.008600	3.034446	4.010690	20346.195352
0.008700	3.034847	4.010815	20347.222894
0.008800	3.035248	4.010940	20348.250093
0.008900	3.035649	4.011065	20349.276948
0.009000	3.036050	4.011190	20350.303459
0.009100	3.036451	4.011315	20351.329626
0.009200	3.036853	4.011440	20352.355450
0.009300	3.037254	4.011565	20353.380929
0.009400	3.037655	4.011690	20354.406065
0.009500	3.038056	4.011815	20355.430857
0.009600	3.038457	4.011940	20356.455304
0.009700	3.038858	4.012065	20357.479408
0.009800	3.039260	4.012190	20358.503167
0.009900	3.039661	4.012315	20359.526582
0.010000	3.040062	4.012440	20360.549653
0.010100	3.040463	4.012565	20361.572379
0.010200	3.040865	4.012690	20362.594761
0.010300	3.041266	4.012815	20363.616798
0.010400	3.041667	4.012940	20364.638491
0.010500	3.042068	4.013065	20365.659840
0.010600	3.042470	4.013190	20366.680843
0.010700	3.042871	4.013315	20367.701502
0.010800	3.043272	4.013441	20368.721817
0.010900	3.043674	4.013566	20369.741786
0.011000	3.044075	4.013691	20370.761410
0.011100	3.044477	4.013816	20371.780690
0.011200	3.044878	4.013941	20372.799625
0.011300	3.045279	4.014067	20373.818214
0.011400	3.045681	4.014192	20374.836458
0.011500	3.046082	4.014317	20375.854358
0.011600	3.046484	4.014442	20376.871912
0.011700	3.046885	4.014568	20377.889120
0.011800	3.047287	4.014693	20378.905984
0.011900	3.047688	4.014818	20379.922502
0.012000	3.048089	4.014944	20380.938674
0.012100	3.048491	4.015069	20381.954501
0.012200	3.048892	4.015194	20382.969982
0.012300	3.049294	4.015320	20383.985118
0.012400	3.049696	4.015445	20384.999908
0.012500	3.050097	4.015570	20386.014353
0.012600	3.050499	4.015696	20387.028451
0.012700	3.050900	4.015821	20388.042204
0.012800	3.051302	4.015947	20389.055611
0.012900	3.051703	4.016072	20390.068671
0.013000	3.052105	4.016197	20391.081386
0.013100	3.052507	4.016323	20392.093755
0.013200	3.052908	4.016448	20393.105778
0.013300	3.053310	4.016574	20394.117454
0.013400	3.053712	4.016699	20395.128784
